alpha_deg,vlm_CL,vlm_CD,vlm_Cm,vlm_runtime_s,ll_CL,ll_CD,ll_Cm,ll_runtime_s,ab_CL,ab_CD,ab_Cm,ab_runtime_s,ab_D_induced_N,ab_D_profile_N
-10.0,-0.6481268847137267,0.03238818806077108,0.15239713792539705,0.12772089999634773,-0.655279572880313,0.05892940659182621,0.12368117873352215,0.3449859000102151,-0.6306671654501017,0.06624465802057046,0.21969708380548228,0.08951600000727922,2.9191800143273285,1.849978308467074
-9.5,-0.6069580574501109,0.028555152992102754,0.1408866796824617,0.11394119999022223,-0.629681691048291,0.05535078600458618,0.11641775816259185,0.2416832000017166,-0.5890397585523465,0.06022774414501523,0.21077343456547937,0.0952306000108365,2.54653502775016,1.7894470096714539
-9.0,-0.5661246547372111,0.024983654838240905,0.1296733301253615,0.14544729999033734,-0.6020443776233597,0.05179693287656721,0.10862842411879539,0.2189508999872487,-0.5466163412966423,0.05452393601176168,0.2013099725206803,0.07790929998736829,2.192934485897199,1.7324127193258465
-8.5,-0.5256284150737578,0.02167012699292147,0.1187592749876467,0.14051430000108667,-0.572013651329475,0.04825572474706965,0.10068994006336698,0.21197999999276362,-0.5036438333951401,0.04916506332232736,0.1914041914405275,0.07777380000334233,1.8616904762230313,1.6778548688760586
-8.0,-0.48547046662629106,0.018610920073097673,0.10814630492889123,0.13252519999514334,-0.5392038797361554,0.044726816676576325,0.09301003021208451,0.20356370002264157,-0.4602619126733249,0.04417793033474109,0.18112305630743017,0.06864269997458905,1.5547856054774298,1.625720573214552
-7.5,-0.445651187789497,0.015802300988614394,0.09783573283895461,0.1330632000172045,-0.5033226959616832,0.04122933764298143,0.08600424197310055,0.20955460000550374,-0.4164551442178622,0.03958410004306991,0.17045624776798704,0.06856640000478365,1.2729076526829346,1.5768744401178423
-7.0,-0.40617004274889823,0.013240454862360834,0.08782828633053605,0.19005370000377297,-0.46420480501954714,0.037796614305867,0.08002432125462333,0.24006089998874813,-0.37210221410881233,0.035400724230725704,0.15932998507016405,0.07036169999628328,1.0162134619792211,1.5323944355132668
-6.5,-0.36702538970194304,0.010921490694792185,0.07812396772872196,0.2858837000094354,-0.42185008216894565,0.03447440070698617,0.07527867566107643,0.2253474000026472,-0.3271131270846226,0.0316413253883752,0.14766504010694748,0.07643039998947643,0.7853375819753484,1.4926195368214126
-6.0,-0.3282142606963629,0.008841451843865306,0.06872187166264572,0.20446070001344196,-0.3765332452593114,0.031324752470698596,0.07180027699687518,0.2036917999794241,-0.2815832649635527,0.02831539236874895,0.1354345156689825,0.08828019999782555,0.581934514526528,1.4565783741153753
-5.5,-0.28973211535236754,0.006996332571264378,0.05961994795284287,0.22318000000086613,-0.32895732132077504,0.028425945535413416,0.06949991042785003,0.22530510000069626,-0.23587128284404082,0.025426938202166873,0.12268628982738697,0.07568119998904876,0.40832932758869644,1.4222347899343726
-5.0,-0.2515725776023304,0.005382101981488349,0.05081469564823383,0.2303585000045132,-0.2802625002826282,0.025855450289739068,0.06811358442514483,0.21779709999100305,-0.19054387858818325,0.02297439567321224,0.10953340620230338,0.07414869999047369,0.26647129822628873,1.3875266785169584
-4.5,-0.21372717653963486,0.00399473638133469,0.042300775444063084,0.19876919998205267,-0.23174110583997837,0.02365935671549745,0.0669597531591424,0.20343290001619607,-0.1462079262211713,0.02095314207520807,0.0961333093551097,0.06888539998908527,0.15689253125979002,1.3515891320562465
-4.0,-0.17618513014467266,0.0028302599139206725,0.034070541939855904,0.22482360000140034,-0.18456394351945737,0.021842143248757127,0.06518368356429471,0.20211340000969358,-0.10330168740590685,0.019357315551770386,0.08262149200559488,0.06550180001067929,0.07832046670495924,1.3152726973206803
-3.5,-0.13893323638847624,0.0018847906135500713,0.0261135615684596,0.26392529997974634,-0.13965550362296322,0.020374135706435124,0.06202485554102063,0.22292230001767166,-0.06192697493728267,0.018178067547614377,0.06897000924068716,0.08299759999499656,0.02814622576376835,1.2805492181783449
-3.0,-0.10195599989487406,0.001154584184448896,0.018416442953291597,0.23101800002041273,-0.09751168590184645,0.01920123287220801,0.05674356613085638,0.207670900010271,-0.021836408245048237,0.017400802783410416,0.05493837611131033,0.06520219999947585,0.003499635760242453,1.2492381078935384
-2.5,-0.06523641095389639,0.0006360594058975028,0.010964343754049295,0.20935869999811985,-0.0576265057495678,0.018269084546165888,0.04907452985148727,0.21941679998417385,0.017355997944269636,0.01700635283823357,0.040264508219504856,0.06550140000763349,0.002210851718219747,1.2221292173882523
-2.0,-0.028759234852427453,0.0003257647813042338,0.0037497669361274385,0.23721559997648,-0.018823479808731797,0.017544031827273997,0.03942799974016281,0.20896459999494255,0.05584049572839266,0.016976146676811882,0.02492531799031264,0.07259880000492558,0.022885424136233935,1.199280009755136
-1.5,0.0074740946703895335,0.00022011883278013895,-0.0031864699102947818,0.12403370000538416,0.019877626696066436,0.017008459224740088,0.028314165068614124,0.21958140001515858,0.09369656066656304,0.017297716102899395,0.009116089820978956,0.08116420000442304,0.06443290827821108,1.180883305624813
-1.0,0.04337209886392996,0.00031401346321733355,-0.009558913708565691,0.16515990000334568,0.05909761565710506,0.016747040680060925,0.016115494539530154,0.2086213000002317,0.13167849585330385,0.017986880101407646,-0.007135331572197002,0.06998490000842139,0.12725948149293137,1.167671785419126
-0.5,0.07850913267637127,0.0005957259314534128,-0.014186451464269658,0.20325639998191036,0.09895631333911419,0.016870744799910922,0.003300403927311242,0.2132841999991797,0.17099937529816067,0.019096703431957022,-0.02401313349947303,0.07356759998947382,0.21460976699086615,1.1602211225002284
0.0,0.11378963857949871,0.0010773403453225004,-0.019327075974974597,0.19652289999066852,0.14168585757760133,0.017429808716961745,-0.009634958659459061,0.21292710001580417,0.21223342080115837,0.020678650899106837,-0.04155780590198509,0.07711360001121648,0.3305886840022342,1.1581315084850101
0.5,0.1504621099912664,0.001788606726355822,-0.028148095011507796,0.24540320000960492,0.19005051222001793,0.018511912148891484,-0.023245684429056744,0.20997869997518137,0.255237910367533,0.022758395585913267,-0.05960583533169241,0.06823559998883866,0.4781352868032231,1.1603121739460198
1.0,0.1868268350017033,0.0026950145977244354,-0.036068301986952385,0.1544249000144191,0.24201980082478375,0.020129632949472523,-0.036731597205278854,0.20507789999828674,0.29955566275691947,0.025339677428664574,-0.07787456938229356,0.08608639999874867,0.6585905625587314,1.1656913813274425
1.5,0.22309796352709726,0.003799514059083703,-0.043534600586591046,0.13151549999020062,0.29333576210573903,0.022168198417976567,-0.049381968141227535,0.19462129997555166,0.344648266467171,0.028409392433793534,-0.09602001845338402,0.0732142000051681,0.8717915037617593,1.1734887410103765
2.0,0.2594790560151998,0.00510825578439474,-0.05097758462865185,0.13365410000551492,0.34162139447380724,0.024491833157030275,-0.0613182336986422,0.21534819999942556,0.3900204927257046,0.03194324946762472,-0.11370785022621992,0.06677789997775108,1.1164397444218992,1.1832538249571518
2.5,0.2960685443991739,0.0066262115636489954,-0.05857462323552124,0.19310519998543896,0.38626402962666967,0.026995996099694046,-0.07245819501001347,0.205465799983358,0.4352404706943622,0.035908137766809525,-0.13064717941894863,0.06551529999705963,1.39033347058218,1.194804700611189
3.0,0.33292010978869185,0.00835789065194402,-0.06640660741404926,0.13242639999953099,0.42744619011708845,0.029608467363361146,-0.08235641443895259,0.2027642999892123,0.47995715538420547,0.040265314734728976,-0.1466452901441136,0.07322419999400154,1.6906954223056414,1.2081294282572315
3.5,0.3700658694495629,0.010307614931590277,-0.07451381742368204,0.1263914000010118,0.465618034134559,0.03228509196637533,-0.09058094486598944,0.20903070000349544,0.523927991072465,0.044975722493830764,-0.1616710623852971,0.06905469999765046,2.014668695353356,1.2232730144300727
4.0,0.40752653124152466,0.01247963763302396,-0.08291780804550918,0.1392045000102371,0.5013450345648861,0.03501175409021544,-0.0972091939431284,0.1990122999995947,0.5670272345899708,0.050004633533461046,-0.17584974675750634,0.08887029998004436,2.359762378522712,1.2402262291675328
4.5,0.44531633016392863,0.014878197899417233,-0.09163094974833191,0.16263410000829026,0.5351776856862887,0.03779525471450633,-0.10267005169629843,0.203192199987825,0.6091986300943493,0.05532043024523278,-0.18932420998293575,0.06645399998524226,2.7238191665550358,1.2588701280699484
5.0,0.483445480259296,0.017507535608066723,-0.10066075574617418,0.19163869999465533,0.5675802080295445,0.04065008789291387,-0.10741710577305759,0.22333160002017394,0.6503837176295154,0.060889349143294906,-0.20211219363829744,0.06833479998749681,3.1045578417443527,1.2790551908130228
5.5,0.5219214043881737,0.020371882726368303,-0.11001188693479261,0.15622100001201034,0.598978277331519,0.04359476149797708,-0.11197025956777026,0.20596500000101514,0.690493367222085,0.06667533111844674,-0.2141411353481367,0.07325929999933578,3.499286149000001,1.300877665414609
6.0,0.5607493810582445,0.02347544369480732,-0.11968711969713702,0.15803540000342764,0.6296548724289062,0.046639604343358336,-0.11669248884244361,0.21548660000553355,0.7294173749546446,0.0726453102217522,-0.22535877397262055,0.06858650001231581,3.9049245203723366,1.3250365996393036
6.5,0.5999329256334153,0.026822372905108416,-0.12968785339373118,0.15651190001517534,0.6597729326919989,0.0497899072839332,-0.12162634901342093,0.21101170001202263,0.767050273234907,0.07877325397982032,-0.23576990705916218,0.07153779998770915,4.318253098780547,1.3528776920946903
7.0,0.6394740551401304,0.030416753906542037,-0.14001441149083638,0.1812715999840293,0.6895080447649141,0.053066439710232435,-0.12678973649940606,0.21922699999413453,0.8033348887971125,0.08504169859957139,-0.2454322114637307,0.07115850000991486,4.736458025322901,1.3859575290721127
7.5,0.6793735019829313,0.03426258279922641,-0.15066624537995094,0.15736179999657907,0.7188510097275511,0.05649193472428578,-0.13226478096924188,0.23430870001902804,0.8382898542232954,0.09144081680818746,-0.2544502960961284,0.07515419999253936,5.157614228333129,1.4254936863981682
8.0,0.7196309022588387,0.038363756882836865,-0.1616420869578975,0.1825838999939151,0.7477227503829998,0.06008870008234966,-0.13805068117030417,0.21028949998435564,0.8719946229019266,0.0979642135566083,-0.2629513259282706,0.07100460000219755,5.580691933730748,1.4720555387436112
8.5,0.7602449668806801,0.04272406866193201,-0.17294006965850586,0.186426299973391,0.7759885071718448,0.0638620118007746,-0.14404781334983052,0.2092568000080064,0.90456819373448,0.10460583938471885,-0.27104156680481717,0.0705442999897059,6.005415514308187,1.5254831939259526
9.0,0.8012136368533166,0.047347204646159595,-0.18455782698762493,0.18167900000116788,0.8033323852192749,0.06778042338007957,-0.15016176442973383,0.2139286000165157,0.9361611156236258,0.11136108534930082,-0.27876891226225703,0.0817836000060197,6.432230988752451,1.5849988211458421
9.5,0.8425342220294665,0.0522367480021171,-0.19649257344284188,0.1619366000231821,0.82929903526069,0.07177752612682495,-0.1563377564907552,0.21834939997643232,0.9669221520272446,0.11822709659147142,-0.2861146083986708,0.07214469998143613,6.861885315791539,1.6496499315328177
10.0,0.8842035226812517,0.057396183981043444,-0.2087411710484463,0.24014549999265,0.8533871307080598,0.07576603439899139,-0.16248343881817343,0.21130349999293685,0.9969446327605008,0.1252006379794722,-0.2930273637524815,0.07276290000299923,7.2946173388684965,1.7189647744779943
10.5,0.9262179339079076,0.06282890709932251,-0.2213001840042437,0.19398999999975786,0.8751004979656561,0.07965725391382163,-0.168328846497905,0.21231329999864101,1.0262599455303647,0.13227946573396823,-0.2994860615178913,0.06962560000829399,7.729923452477725,1.7932854188557878
11.0,0.9685735336465723,0.06853822921136178,-0.23416592352661347,0.2295925000216812,0.8939222958855099,0.08337266275260934,-0.17316751021443325,0.20446750000701286,1.0549021735871864,0.13946922892804006,-0.3055481681188709,0.07658780002384447,8.167418505036864,1.8734037105346268
11.5,1.0112661556220137,0.07452738782033413,-0.24733448464279167,0.19407359999604523,0.9092267883265668,0.08682672866837261,-0.17552568080985498,0.23573459999170154,1.0829776190766873,0.14678832781455356,-0.31134805243325825,0.06825840001692995,8.607943316425324,1.9598035208889777
12.0,1.05429144890613,0.08079955417498606,-0.26080177642390184,0.267221200017957,0.9202775612593258,0.08990921552250092,-0.17319932698366342,0.20808250000118278,1.1106589324940412,0.15426242779922467,-0.3170475919857187,0.07883670000592247,9.053611675690084,2.0522187930050815
12.5,1.0976449258844463,0.08735784087408356,-0.2745635468965663,0.234511399990879,0.9262792190655024,0.09251158407080001,-0.16358856658713997,0.21590129999094643,1.13810040170112,0.16191015173485712,-0.32277396770463085,0.06910409999545664,9.506520491315742,2.1498933353119174
13.0,1.141322000398375,0.09420530883403022,-0.2886154036569389,0.2014396000013221,0.924213752107165,0.09429730414140367,-0.13823804521568528,0.21162960000219755,1.1653439636114273,0.16972986852314595,-0.3285816639629701,0.0730092000158038,9.967097283483342,2.252282199804244
13.5,1.1853180177044063,0.10134497357001374,-0.30295283102542747,0.14910919999238104,0.9085908418639915,0.0949331078926516,-0.08266578077691814,0.20767139998497441,1.1922826498097892,0.1776955892002926,-0.33445175251525544,0.06754610000643879,10.433232453731664,2.3596239588605084
14.0,1.2296282777107266,0.10877981080226566,-0.3175712044239888,0.19699840000248514,0.895859623128509,0.09651347854444846,-0.041008780336009604,0.2038167999999132,1.2186908016078892,0.18576184504733922,-0.3403153669682496,0.06672480000997894,10.900527170868063,2.473044009619593
14.5,1.2742480527517708,0.11651276143428675,-0.33246580252804425,0.28366109999478795,0.8938948129122595,0.0993512809064527,-0.03434238208167479,0.22173829999519512,1.2442836296771598,0.19387202841660642,-0.3460793049808024,0.08345499998540618,11.363162311759428,2.5942861151458825
15.0,1.3191726009639002,0.12454673596652874,-0.3476318176383476,0.16853659998741932,0.8916782034793126,0.10244813233345806,-0.03461876980611949,0.2241232999949716,1.2687665070618186,0.20196531834139694,-0.35164003460648496,0.06944620001013391,11.814731234683979,2.725378227192893
15.5,1.364397176143713,0.1328846184134942,-0.3630643646309354,0.2568516000173986,0.886458850835261,0.10568394318131213,-0.035938075673076886,0.2159442999982275,1.2918597691408313,0.20998090458581678,-0.35688527804462883,0.06926720001501963,12.248733421114643,2.868442946863256
16.0,1.409917034810341,0.14152926978924898,-0.3787584887723587,0.1976942999754101,0.8780606384830433,0.10918389501317956,-0.03916158229877237,0.21358030001283623,1.3133059210210827,0.21786078199818487,-0.36168955031249383,0.0674703000113368,12.658791301642466,3.025681872851143
16.5,1.4557274410567138,0.15048353121962238,-0.3947091726298295,0.1576684000028763,0.8662175194084407,0.11312407328644478,-0.04451001443363108,0.20992230001138523,1.3328705698001817,0.225552586776845,-0.36590961910188396,0.06711340000038035,13.038763042053112,3.1994670069354267
17.0,1.5018236696607992,0.1597502267310582,-0.41091134225925713,0.2876477999961935,0.8508938755674436,0.1178258034328169,-0.05192785747498083,0.21501329998136498,1.3503417377047464,0.23301254473435903,-0.36937943304958926,0.08229180000489578,13.382825597136822,3.3924699548501156
17.5,1.548201007834596,0.16933216575775262,-0.4273598728164204,0.1567425999965053,0.8325738215214371,0.12434199076292252,-0.062205212491174035,0.23706340001081116,1.3655220826642405,0.24020655990724868,-0.3718913512631441,0.0714237000211142,13.685412457854486,3.607802551508807
18.0,1.5948547559129749,0.17923214540109872,-0.44404959370606717,0.17377659998601303,0.8118978231549212,0.13579600985924403,-0.0783248601837426,0.2347480999887921,1.378197071249457,0.24710521999383186,-0.37312856149202994,0.08996040001511574,13.940651829841125,3.8492191084853897
18.5,1.6417802272236999,0.18945295246892202,-0.46097529335918286,0.183117200009292,0.7887353706159594,0.15078037962793067,-0.09910684579765731,0.22904569999082014,1.3880489037164998,0.253666753747633,-0.37248245326156926,0.07597259999602102,14.140669446631374,4.1215866506995
19.0,1.6889727473313902,0.19999736531666806,-0.4781317237089906,0.1332791000022553,0.7591737268062944,0.16423160730396807,-0.12135191212649572,0.21407460002228618,1.3944817723889962,0.25980480420321733,-0.3686792772669151,0.08682549998047762,14.272042133304998,4.432111247379542
19.5,1.7364276528093814,0.2108681555084737,-0.4955136044204786,0.12906180002028123,0.7165821858625628,0.17945190294433533,-0.1494603677653303,0.2062228999857325,1.3963964144211372,0.2653615239097987,-0.35932236826011293,0.07062090002000332,14.311260446047987,4.792938414950584
20.0,1.7841402896626655,0.22206808931285318,-0.5131156269157209,0.12330539998947643,0.6738392181224133,0.19835896679080278,-0.18184497324776844,0.2113594000111334,1.392277237156747,0.2701814475138917,-0.3412534844342323,0.07987539999885485,14.226952480287261,5.224247625167214
